datetime,open,high,low,close
2025-06-10 08:00:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 08:05:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 08:10:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 08:15:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 08:20:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 08:25:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 08:30:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 08:35:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 08:40:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 08:45:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 08:50:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 08:55:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 09:00:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 09:05:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 09:10:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 09:15:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 09:20:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 09:25:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 09:30:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 09:35:00,2396.0,2396.6,2395.4,2396.0
2025-06-10 09:40:00,2399.6,2400.55,2399.85,2400.45
2025-06-10 09:45:00,2400.6,2400.7,2399.2,2399.5
